Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,demand_multiplier,supply_multiplier,adjusted_ride_cost,profit_percentage
28,11,Suburban,Gold,52,4.33,Afternoon,Premium,94,456.1809467866996,0.7,1.0,364.9447574293597,-20.0
25,15,Rural,Gold,65,4.88,Evening,Premium,101,502.5293207873477,0.625,2.533333333333333,1018.459423462358,102.66666666666669
28,6,Suburban,Regular,2,4.29,Morning,Economy,89,244.21766165291973,0.7,1.8333333333333333,358.1859037576156,46.66666666666667
73,17,Rural,Regular,14,4.81,Evening,Premium,170,634.7265312250814,1.825,2.235294117647059,2589.3108788505524,307.9411764705882
36,18,Urban,Silver,88,3.73,Night,Premium,92,345.40676830595487,0.9,2.111111111111111,656.2728597813143,90.00000000000001
56,10,Urban,Silver,55,4.5,Night,Economy,45,151.15212964816465,1.4,1.1,232.77427965817355,54.0
97,81,Suburban,Regular,52,4.56,Evening,Economy,125,530.7599938912294,1.1975308641975309,0.4691358024691358,508.48117933283214,-4.1975308641975335
63,9,Rural,Regular,89,3.87,Afternoon,Premium,166,482.85016419959805,1.575,1.2222222222222223,929.4865660842263,92.5
78,33,Urban,Silver,35,4.46,Morning,Premium,116,355.9595074862448,1.95,1.1515151515151516,799.2908940827497,124.54545454545456
29,10,Suburban,Regular,25,3.77,Afternoon,Economy,91,303.9609626071891,0.725,1.1,267.48564709432645,-11.99999999999999
73,33,Suburban,Silver,60,3.88,Night,Premium,161,514.8771742414517,1.825,1.1515151515151516,1082.0221828377175,110.15151515151516
94,29,Urban,Regular,67,3.59,Evening,Premium,96,361.13235495172165,1.1604938271604939,1.3103448275862069,549.154862446807,52.06470838654745
54,28,Suburban,Silver,83,4.49,Night,Economy,32,80.26246462184758,1.35,1.3571428571428572,147.05230125359932,83.21428571428572
67,6,Rural,Gold,15,3.53,Night,Economy,123,420.6239113101238,1.675,1.8333333333333333,1291.6659276481719,207.08333333333337
23,8,Urban,Silver,27,4.73,Afternoon,Economy,117,520.8926706123274,0.575,1.375,572.9819376735602,10.000000000000016
70,14,Urban,Silver,16,4.3,Morning,Economy,53,183.07579104191225,1.75,2.7142857142857144,869.6100074490832,375.00000000000006
20,10,Rural,Silver,70,4.92,Evening,Economy,65,190.13746358777752,0.5,1.1,167.32096795724425,-11.999999999999982
95,84,Suburban,Gold,18,3.86,Afternoon,Premium,112,522.3021028701461,1.1728395061728396,0.4523809523809524,490.0612323226063,-6.172839506172818
43,16,Urban,Silver,40,4.89,Night,Premium,106,410.6863449474928,1.075,2.375,1048.5335744440677,155.31250000000003
97,55,Suburban,Silver,94,4.62,Evening,Premium,150,584.9958711291002,1.1975308641975309,0.6909090909090909,560.440488884175,-4.197530864197536
32,20,Rural,Silver,44,3.55,Night,Economy,68,301.62262644973293,0.8,1.9,458.46639220359407,52.0
95,25,Suburban,Regular,72,4.16,Morning,Premium,128,413.5870840445325,1.1728395061728396,1.52,737.3083325435864,78.27160493827162
47,15,Urban,Gold,14,4.84,Night,Economy,89,273.11810461931896,1.175,2.533333333333333,812.9815580835061,197.66666666666669
25,11,Rural,Silver,33,3.85,Night,Economy,94,247.1745626508575,0.625,1.0,197.739650120686,-19.999999999999996
37,22,Rural,Regular,76,4.72,Afternoon,Economy,69,213.4432507972432,0.925,1.7272727272727273,341.0241029783227,59.77272727272729
59,39,Suburban,Gold,49,3.78,Morning,Premium,98,295.79438015283176,1.475,0.9743589743589743,425.10961557862106,43.71794871794873
42,20,Urban,Silver,88,4.64,Night,Premium,29,145.0698091748401,1.05,1.9,289.41426930380595,99.49999999999999
53,11,Rural,Regular,2,3.5,Afternoon,Premium,81,297.0186264188845,1.325,1.0,393.5496800050219,32.49999999999999
79,64,Rural,Regular,91,4.57,Night,Economy,164,666.6870291344428,1.975,0.59375,1053.3655060324197,58.00000000000001
59,23,Urban,Gold,41,4.97,Evening,Premium,91,449.5456339145253,1.475,1.6521739130434783,1095.523164387354,143.69565217391303
40,29,Urban,Regular,72,4.3,Afternoon,Economy,147,624.9860100296204,1.0,1.3103448275862069,818.9471855560543,31.03448275862068
76,40,Suburban,Silver,77,4.17,Morning,Economy,28,96.03520851587072,1.9,0.95,173.34355137114665,80.5
41,26,Urban,Regular,96,3.91,Night,Economy,169,637.7593915947267,1.025,1.4615384615384615,955.4126270236385,49.80769230769228
83,14,Urban,Regular,80,4.77,Night,Premium,64,295.5887110300315,1.0246913580246915,2.7142857142857144,822.1223938172129,178.1305114638448
44,17,Rural,Regular,15,4.0,Evening,Economy,98,353.33854512223814,1.1,2.235294117647059,868.7971285946797,145.88235294117652
91,73,Urban,Gold,61,4.39,Night,Economy,15,62.25429041832141,1.123456790123457,0.5205479452054794,55.95200422782469,-10.123456790123436
54,16,Suburban,Regular,8,4.5,Afternoon,Premium,67,266.0685899337195,1.35,2.375,853.0824164749882,220.62500000000003
59,37,Rural,Silver,86,4.67,Night,Premium,95,340.1282671016029,1.475,1.027027027027027,515.2483613795903,51.48648648648647
72,43,Suburban,Gold,28,4.87,Afternoon,Economy,132,443.258155352454,1.8,0.8837209302325582,705.0897168862292,59.06976744186046
47,9,Rural,Gold,49,4.44,Evening,Economy,96,265.05527443495566,1.175,1.2222222222222223,380.64882467464474,43.61111111111114
32,22,Rural,Silver,49,4.65,Night,Economy,60,221.4343854791753,0.8,1.7272727272727273,305.9820599348604,38.18181818181818
45,13,Rural,Regular,96,4.84,Night,Economy,112,393.2308288248255,1.125,2.923076923076923,1293.1244563277914,228.84615384615384
72,45,Urban,Silver,82,4.42,Night,Premium,40,151.58040412487964,1.8,0.8444444444444444,230.40221426981705,52.0
56,15,Urban,Gold,34,4.72,Night,Premium,78,313.9950046053331,1.4,2.533333333333333,1113.6356163335813,254.6666666666666
42,22,Rural,Silver,67,3.81,Afternoon,Premium,82,366.1515260551269,1.05,1.7272727272727273,664.0657222545257,81.36363636363637
52,14,Suburban,Silver,87,3.54,Afternoon,Premium,98,425.97356882411634,1.3,2.7142857142857144,1503.078164279382,252.85714285714283
81,23,Urban,Gold,39,4.3,Evening,Economy,143,359.0531279855558,2.025,1.6521739130434783,1201.266878195153,234.5652173913043
77,25,Rural,Regular,70,4.27,Afternoon,Premium,52,260.34417984860374,1.925,1.52,761.7670702370147,192.60000000000005
27,6,Urban,Gold,2,4.42,Night,Economy,86,320.30170917475425,0.675,1.8333333333333333,469.77584012297297,46.666666666666686
74,34,Rural,Regular,18,4.66,Morning,Premium,140,454.49212153190336,1.85,1.1176470588235294,939.7292983439062,106.76470588235296
92,69,Urban,Silver,88,4.69,Afternoon,Economy,18,45.11502370436019,1.1358024691358024,0.5507246376811594,40.99340425482605,-9.135802469135793
77,34,Rural,Gold,33,4.13,Night,Premium,48,223.6621142931812,1.925,1.1176470588235294,481.2024606043001,115.1470588235294
66,6,Rural,Regular,23,4.2,Evening,Economy,45,173.1577542620492,1.65,1.8333333333333333,523.8022066426988,202.5
77,39,Urban,Regular,23,4.29,Morning,Economy,167,592.240499627505,1.925,0.9743589743589743,1110.830578147487,87.56410256410257
35,16,Urban,Regular,31,4.75,Afternoon,Premium,113,379.3078104185831,0.875,2.375,788.2490435261179,107.8125
48,38,Rural,Gold,40,3.7,Evening,Premium,80,360.7111703191874,1.2,1.0,432.85340438302484,19.999999999999996
61,18,Rural,Gold,84,3.93,Evening,Premium,58,203.49261837786293,1.525,2.111111111111111,655.1331797220643,221.94444444444446
71,21,Suburban,Silver,82,4.88,Afternoon,Premium,126,553.5451307734787,1.775,1.8095238095238095,1777.9342414605303,221.19047619047615
95,7,Rural,Gold,40,4.68,Evening,Economy,95,283.46644254307614,1.1728395061728396,1.5714285714285714,522.438152482389,84.30335097001763
76,44,Suburban,Gold,20,3.56,Afternoon,Premium,105,435.14534513079855,1.9,0.8636363636363636,714.0339526919013,64.0909090909091
32,13,Suburban,Regular,21,4.64,Afternoon,Economy,156,685.7681264991488,0.8,2.923076923076923,1603.6423881210865,133.84615384615384
49,30,Rural,Silver,57,4.83,Evening,Economy,154,630.8608868741742,1.225,1.2666666666666666,978.885809466427,55.16666666666667
38,17,Urban,Silver,92,4.41,Afternoon,Premium,138,546.1568747653598,0.95,2.235294117647059,1159.7801870017347,112.3529411764706
92,35,Suburban,Regular,46,4.72,Morning,Economy,45,115.35700254441711,1.1358024691358024,1.0857142857142856,142.2532913210872,23.31569664902998
40,29,Suburban,Silver,26,4.26,Night,Economy,152,404.0498951423794,1.0,1.3103448275862069,529.444690186566,31.034482758620673
55,42,Suburban,Silver,24,4.49,Afternoon,Economy,45,156.03832988580584,1.375,0.9047619047619048,194.1191127746037,24.404761904761916
58,34,Rural,Gold,19,4.55,Morning,Premium,131,501.26295506529306,1.45,1.1176470588235294,812.3408477675779,62.05882352941177
34,5,Urban,Regular,26,4.85,Evening,Premium,152,562.4369764527329,0.85,2.2,1051.7571459666106,87.00000000000001
70,47,Suburban,Silver,3,3.66,Morning,Premium,53,216.8024750869831,1.75,0.8085106382978723,306.7524381549867,41.489361702127646
51,24,Rural,Gold,25,4.68,Afternoon,Premium,16,120.09069016935676,1.275,1.5833333333333333,242.43308077938894,101.87499999999999
88,56,Rural,Regular,11,4.36,Afternoon,Economy,60,221.1576532597614,1.0864197530864197,0.6785714285714286,192.2160344381136,-13.086419753086417
25,8,Suburban,Silver,83,3.53,Evening,Economy,121,492.7012709061221,0.625,1.375,541.9713979967344,10.000000000000014
34,19,Rural,Regular,51,4.2,Night,Premium,166,754.2344800100251,0.85,2.0,1282.1986160170427,70.0
40,15,Urban,Regular,90,3.62,Night,Premium,42,211.52772882563164,1.0,2.533333333333333,535.8702463582669,153.33333333333334
26,7,Suburban,Gold,58,4.91,Afternoon,Economy,161,460.75927538572495,0.65,1.5714285714285714,579.2402319134828,25.714285714285722
81,42,Suburban,Regular,88,4.14,Afternoon,Economy,47,164.10747354764283,2.025,0.9047619047619048,300.6683354640742,83.21428571428572
80,56,Suburban,Gold,63,4.57,Night,Premium,43,213.6962129956236,2.0,0.6785714285714286,341.9139407929978,60.00000000000001
64,19,Rural,Gold,86,4.68,Night,Premium,171,732.9893961300692,1.6,2.0,2345.5660676162215,220.00000000000006
45,18,Rural,Gold,68,4.07,Morning,Economy,136,350.6012026111729,1.125,2.111111111111111,832.6778562015356,137.50000000000003
84,49,Urban,Regular,32,4.25,Night,Premium,53,192.8798062051633,1.037037037037037,0.7755102040816326,160.01880218502436,-17.037037037037045
34,16,Urban,Silver,47,4.12,Evening,Economy,93,294.11580585015537,0.85,2.375,593.7462830600011,101.875
67,32,Suburban,Regular,40,4.47,Afternoon,Premium,13,82.52418774801069,1.675,1.1875,164.1457671925275,98.90624999999999
93,23,Suburban,Silver,34,4.23,Evening,Premium,125,386.169069413996,1.1481481481481481,1.6521739130434783,732.5397162152774,89.6940418679549
100,51,Urban,Silver,56,3.58,Night,Economy,89,310.9003272621974,1.2345679012345678,0.7450980392156863,307.06205161698506,-1.23456790123457
35,22,Suburban,Gold,15,4.23,Morning,Premium,120,373.96284065200393,0.875,1.7272727272727273,565.1938387126878,51.13636363636365
36,13,Rural,Silver,31,4.71,Night,Economy,71,221.55110013131716,0.9,2.923076923076923,582.8498172685421,163.07692307692307
28,18,Suburban,Regular,100,3.7,Afternoon,Economy,127,531.1127009643968,0.7,2.111111111111111,896.9903394065369,68.8888888888889
21,9,Urban,Gold,10,3.88,Morning,Premium,108,324.9426389036563,0.525,1.2222222222222223,317.72169137246397,-2.2222222222222143
26,15,Urban,Regular,35,5.0,Morning,Premium,161,493.4068923175674,0.65,2.533333333333333,999.9713017636033,102.66666666666669
97,21,Suburban,Regular,59,3.87,Evening,Premium,174,778.6333560141928,1.1975308641975309,1.8095238095238095,1687.2678132088859,116.69606114050559
26,15,Urban,Silver,10,3.71,Morning,Premium,171,720.1572085631501,0.65,2.533333333333333,1459.518609354651,102.66666666666669
91,56,Urban,Gold,17,4.66,Night,Economy,10,38.23523523879646,1.123456790123457,0.6785714285714286,34.364507720794855,-10.123456790123434
65,48,Rural,Silver,12,4.37,Afternoon,Premium,140,573.5891064527985,1.625,0.7916666666666666,745.6658383886381,30.000000000000004
88,28,Urban,Gold,22,4.99,Night,Premium,154,682.016246966075,1.0864197530864197,1.3571428571428572,1005.5830378547419,47.4426807760141
82,13,Suburban,Gold,32,3.58,Night,Economy,148,516.4367273015673,1.0123456790123457,2.923076923076923,1528.221122765132,195.91642924976261
65,40,Urban,Silver,48,3.59,Evening,Economy,121,492.5196024192815,1.625,0.95,760.3271362347658,54.37499999999999
41,6,Urban,Silver,56,4.32,Night,Economy,11,49.234784001519046,1.025,1.8333333333333333,92.52036493618786,87.91666666666664
85,36,Rural,Silver,64,4.32,Evening,Economy,152,506.6928860981053,1.0493827160493827,1.0555555555555556,561.2544657396708,10.768175582990384
35,13,Rural,Silver,80,3.8,Afternoon,Economy,93,304.3133394836575,0.875,2.923076923076923,778.3398875255085,155.76923076923075
83,29,Urban,Silver,78,4.42,Afternoon,Premium,23,111.179341237614,1.0246913580246915,1.3103448275862069,149.28039261959754,34.26990208599406
91,31,Urban,Regular,12,4.39,Night,Economy,39,163.21458328772866,1.123456790123457,1.2258064516129032,224.76942612862038,37.71405814416569
44,28,Rural,Regular,31,4.92,Night,Premium,132,402.856989480614,1.1,1.3571428571428572,601.4079342960596,49.28571428571431
96,12,Suburban,Gold,15,4.97,Night,Economy,90,289.2351908680133,1.1851851851851851,3.1666666666666665,1085.5246669614326,275.3086419753086
77,46,Suburban,Regular,97,4.2,Afternoon,Premium,25,150.53929481479082,1.925,0.8260869565217391,239.3902046891728,59.02173913043479
91,80,Rural,Gold,74,4.74,Night,Economy,46,194.93555934032696,1.123456790123457,0.475,175.2013422219235,-10.123456790123447
93,42,Rural,Silver,75,4.66,Morning,Economy,160,674.6485035775572,1.1481481481481481,0.9047619047619048,700.8253414588735,3.880070546737229
41,9,Rural,Silver,73,3.51,Morning,Economy,150,551.5572340398235,1.025,1.2222222222222223,690.9786459776677,25.27777777777778
61,44,Suburban,Regular,69,4.54,Afternoon,Economy,52,132.2147645898824,1.525,0.8636363636363636,174.1328547269019,31.70454545454543
83,10,Urban,Gold,28,3.91,Afternoon,Economy,23,70.11182411078714,1.0246913580246915,1.1,79.02727828783786,12.716049382716063
59,22,Rural,Regular,79,4.38,Morning,Premium,93,346.2847096470098,1.475,1.7272727272727273,882.2389988961318,154.77272727272728
42,31,Suburban,Gold,62,4.95,Night,Premium,13,102.04473025177862,1.05,1.2258064516129032,131.34144313051505,28.70967741935483
81,16,Suburban,Regular,73,4.89,Night,Economy,125,494.1401793052489,2.025,2.375,2376.5054248461815,380.9375
72,19,Rural,Gold,89,4.74,Morning,Premium,45,183.658314681842,1.8,2.0,661.1699328546313,260.00000000000006
43,9,Rural,Silver,2,4.12,Morning,Economy,126,436.5576476487414,1.075,1.2222222222222223,573.5882426051519,31.388888888888882
74,33,Urban,Silver,82,4.13,Afternoon,Economy,10,31.362081322241885,1.85,1.1515151515151516,66.81073687738196,113.03030303030303
68,45,Rural,Silver,65,4.19,Evening,Economy,112,323.4791093139413,1.7,0.8444444444444444,464.3722324817913,43.55555555555555
36,13,Urban,Silver,84,4.88,Evening,Premium,140,505.3840569466695,0.9,2.923076923076923,1329.5488267366227,163.07692307692307
51,5,Urban,Gold,0,4.59,Afternoon,Premium,92,320.8576215627125,1.275,2.2,900.0056284834086,180.50000000000003
63,23,Urban,Silver,48,4.09,Evening,Economy,49,214.5660524456202,1.575,1.6521739130434783,558.3381842987117,160.2173913043478
96,29,Urban,Regular,84,3.65,Night,Economy,176,758.5015334295354,1.1851851851851851,1.3103448275862069,1177.953850128116,55.3001277139208
94,59,Suburban,Regular,84,4.38,Morning,Premium,175,665.7295341217325,1.1604938271604939,0.6440677966101694,618.0600119253616,-7.160493827160493
74,32,Suburban,Regular,2,4.7,Evening,Premium,38,171.06636292972274,1.85,1.1875,375.81141606123464,119.68749999999999
91,13,Rural,Silver,32,3.6,Morning,Premium,160,647.3526381087524,1.123456790123457,2.923076923076923,2125.8740955176313,228.39506172839506
69,12,Suburban,Regular,42,4.34,Afternoon,Premium,158,608.1282399929386,1.725,3.1666666666666665,3321.9005109614272,446.25000000000006
51,20,Rural,Silver,57,3.68,Night,Economy,67,246.92292493661097,1.275,1.9,598.1707856589401,142.25
45,17,Rural,Gold,10,4.93,Night,Premium,148,430.0665305032927,1.125,2.235294117647059,1081.4908340597508,151.47058823529412
92,34,Suburban,Regular,98,3.99,Night,Economy,140,396.6387527092545,1.1358024691358024,1.1176470588235294,503.50365993883577,26.942628903413212
69,36,Suburban,Gold,55,4.74,Morning,Economy,109,436.0114486061054,1.725,1.0555555555555556,793.9041793369503,82.08333333333336
56,14,Suburban,Silver,30,3.67,Night,Economy,48,202.9454568505992,1.4,2.7142857142857144,771.1927360322769,280.0
43,26,Rural,Regular,59,4.91,Afternoon,Economy,175,731.7816872483901,1.075,1.4615384615384615,1149.7416124652589,57.11538461538459
86,48,Urban,Silver,37,4.15,Night,Economy,84,216.05054809363543,1.0617283950617284,0.7916666666666666,183.50960134372986,-15.061728395061724
61,34,Urban,Gold,82,3.99,Night,Premium,10,83.86835620425342,1.525,1.1176470588235294,142.9462130010731,70.44117647058822
50,36,Suburban,Gold,18,4.61,Night,Economy,145,572.2420492964254,1.25,1.0555555555555556,755.0415928216725,31.944444444444446
73,34,Urban,Regular,95,4.31,Morning,Premium,21,118.8070474355678,1.825,1.1176470588235294,242.33143351931253,103.9705882352941
76,7,Urban,Gold,76,4.35,Morning,Economy,72,245.8935711917164,1.9,1.5714285714285714,734.1679482724103,198.5714285714285
87,41,Urban,Regular,87,4.36,Night,Economy,87,387.1117403297744,1.0740740740740742,0.926829268292683,385.3632681512299,-0.45167118337848644
53,33,Rural,Regular,40,3.8,Morning,Premium,139,507.9505746530285,1.325,1.1515151515151516,775.0094373872723,52.57575757575758
71,8,Suburban,Silver,57,3.68,Night,Economy,75,249.302974601016,1.775,1.375,608.4550723856046,144.06249999999997
32,5,Rural,Gold,80,3.55,Night,Economy,14,45.91711193197189,0.8,2.2,80.81411700027053,76.00000000000001
91,30,Suburban,Gold,34,3.69,Afternoon,Economy,96,424.6120578300381,1.123456790123457,1.2666666666666666,604.2421794141037,42.30452674897121
47,37,Suburban,Gold,64,3.75,Morning,Economy,31,85.97357530080251,1.175,1.027027027027027,103.74919289677925,20.67567567567568
23,13,Rural,Silver,42,4.55,Night,Economy,87,328.9669925908357,0.575,2.923076923076923,769.2766595970312,133.84615384615387
57,20,Rural,Regular,92,3.74,Morning,Economy,53,172.62943414987132,1.425,1.9,467.3941929607766,170.75
48,17,Suburban,Silver,2,4.09,Evening,Economy,85,261.9435328532634,1.2,2.235294117647059,702.6250057711064,168.23529411764704
22,5,Urban,Gold,39,4.92,Evening,Economy,56,199.0416803252397,0.55,2.2,350.31335737242193,76.00000000000003
60,19,Urban,Silver,37,4.22,Evening,Economy,68,232.2834549147445,1.5,2.0,696.8503647442335,199.99999999999997
94,42,Rural,Regular,0,4.23,Morning,Premium,36,185.311838106628,1.1604938271604939,0.9047619047619048,194.57198286798211,4.997060552616105
43,6,Suburban,Silver,34,4.4,Morning,Premium,24,153.76143970087224,1.075,1.8333333333333333,303.03817074380237,97.08333333333331
97,18,Suburban,Regular,53,4.25,Night,Premium,26,126.4771352873347,1.1975308641975309,2.111111111111111,319.7494654795033,152.81207133058987
47,17,Rural,Silver,7,4.8,Morning,Economy,173,609.5038276051239,1.175,2.235294117647059,1600.843876621693,162.64705882352942
39,28,Urban,Silver,72,3.76,Afternoon,Premium,87,287.1624375675698,0.975,1.3571428571428572,379.97743970994503,32.32142857142858
50,39,Suburban,Regular,94,3.81,Evening,Premium,139,406.32480651562713,1.25,0.9743589743589743,494.8827771664689,21.79487179487178
35,17,Urban,Regular,78,4.4,Evening,Premium,61,249.03711265544783,0.875,2.235294117647059,487.0872938702142,95.58823529411767
28,8,Suburban,Regular,69,3.86,Evening,Premium,175,620.9016915662245,0.7,1.375,682.991860722847,10.000000000000016
51,32,Rural,Regular,98,4.44,Morning,Premium,51,267.0607016773296,1.275,1.1875,404.3465936333318,51.40625
54,12,Suburban,Silver,84,4.98,Evening,Premium,172,715.7547930992089,1.35,3.1666666666666665,3059.851740499118,327.50000000000006
65,10,Urban,Regular,77,4.36,Afternoon,Economy,170,430.385487919734,1.625,1.1,769.3140596565245,78.75
61,26,Rural,Gold,21,3.85,Morning,Premium,126,604.273047008686,1.525,1.4615384615384615,1346.8316566982057,122.88461538461534
46,9,Suburban,Silver,67,4.22,Evening,Premium,47,243.5250631593867,1.15,1.2222222222222223,342.28800544069355,40.55555555555557
73,50,Urban,Regular,7,4.22,Night,Economy,45,176.2144067384048,1.825,0.76,257.273033838071,46.0
86,49,Urban,Regular,99,3.51,Night,Economy,130,471.4796320940979,1.0617283950617284,0.7755102040816326,400.4666504700486,-15.061728395061728
75,7,Suburban,Gold,100,4.13,Morning,Economy,134,453.3769493913552,1.875,1.5714285714285714,1335.8427973138143,194.6428571428571
39,29,Suburban,Silver,12,4.24,Evening,Economy,97,251.1073064574406,0.975,1.3103448275862069,320.81123118097145,27.75862068965515
33,6,Rural,Gold,90,4.81,Night,Premium,139,521.8019208244536,0.825,1.8333333333333333,789.2254052469862,51.25000000000001
40,29,Suburban,Silver,6,4.94,Night,Premium,71,346.4926515319707,1.0,1.3103448275862069,454.0248537315478,31.03448275862069
54,35,Suburban,Silver,66,4.4,Night,Economy,77,234.0714535105622,1.35,1.0857142857142856,343.08187328833833,46.57142857142858
53,26,Urban,Gold,54,4.6,Night,Premium,52,184.0244513007148,1.325,1.4615384615384615,356.3704278073457,93.65384615384613
81,34,Urban,Silver,98,3.55,Afternoon,Premium,164,554.8869659163038,2.025,1.1176470588235294,1255.8397655076346,126.32352941176472
45,20,Urban,Regular,80,4.73,Morning,Economy,63,192.61977241404605,1.125,1.9,411.7247635350234,113.74999999999997
20,9,Urban,Silver,77,3.91,Evening,Economy,89,227.796524806166,0.5,1.2222222222222223,222.73437981047343,-2.2222222222222157
47,22,Rural,Silver,11,4.8,Afternoon,Premium,119,416.601648993299,1.175,1.7272727272727273,845.511983070491,102.95454545454548
33,18,Urban,Gold,90,3.61,Evening,Premium,146,671.7128294096442,0.825,2.111111111111111,1169.8998445551304,74.16666666666667
78,57,Rural,Silver,5,4.82,Morning,Premium,127,552.6397714448676,1.95,0.6666666666666666,862.1180434539936,56.000000000000014
26,12,Rural,Silver,9,3.75,Afternoon,Economy,115,321.37240510655704,0.65,3.1666666666666665,814.1434262699445,153.33333333333331
62,21,Rural,Regular,61,4.57,Night,Economy,56,215.4338699200544,1.55,1.8095238095238095,604.2407113472003,180.4761904761905
